"Id_Loja","Departamento","Categoria","SubCategoria","Marca","Unidade","Volume","codigo_barra","Nome","dt_cadastro","dt_ultima_alteracao","vlr_produto","vlr_promocao","qtd_estoque_atual","qtd_estoque_minimo","Descricao","ativo","plu","vlr_compra","validade_proxima","qtd_atacado","image_url"
"201",LIMPEZA,LIMPEZA COZINHA,DETERGENTE LIQUIDO,"",UN,"1",7896098900277,DETERG LIQ CLEAR 500ML,"03/08/2020","03/08/2020",2.52,0.00,100.0000,10.0000,DETERG LIQ YPE CLEAR CARE 500ML,S,"1673017",1.54,N,0,http://db.buzzer.com.br/middleware/imagens/7896098900277.png
"201",LIMPEZA,LIMPEZA DE ROUPA,LAVA ROUPAS(LIQ./GEO/COCO/SEC),"",UN,"1",7896098900352,LAV ROUP LIQ MACIEZ 1L,"03/08/2020","03/08/2020",8.73,0.00,100.0000,10.0000,LAVA ROUPA LIQ TIXAN YPE MACIEZ 1L,S,"1673041",6.30,N,0,http://db.buzzer.com.br/middleware/imagens/7896098900352.png
"201",LIMPEZA,LIMPEZA DE ROUPA,LAVA ROUPAS(LIQ./GEO/COCO/SEC),"",UN,"1",7896098900369,LAV ROUP LIQ PRIMAV 1L,"03/08/2020","03/08/2020",8.73,0.00,100.0000,10.0000,LAVA ROUPA LIQ TIXAN YPE PRIMAVER 1L,S,"1673033",5.52,N,0,http://db.buzzer.com.br/middleware/imagens/7896098900369.png
"201",LIMPEZA,LIMPEZA DE ROUPA,AMACIANTES,"",UN,"1",7896098900383,AMAC ROUP PINK 500ML,"03/08/2020","03/08/2020",8.84,0.00,100.0000,12.0000,AMAC ROUPA YPE CONC PINK 500ML,S,"1673068",5.42,N,0,http://db.buzzer.com.br/middleware/imagens/7896098900383.png
"201",LIMPEZA,LIMPEZA DE ROUPA,AMACIANTES,"",UN,"1",7896098900390,AMAC ROUP BLUE 500ML,"03/08/2020","03/08/2020",8.84,0.00,100.0000,12.0000,AMAC ROUPA YPE CONC BLUE 500ML,S,"1673050",5.42,N,0,http://db.buzzer.com.br/middleware/imagens/7896098900390.png
"201",LIMPEZA,LIMPEZA DE ROUPA,AMACIANTES,"",UN,"1",7896098900406,AMAC ROUP ACONCH 500ML,"03/08/2020","03/08/2020",3.16,0.00,100.0000,24.0000,AMAC ROUPA YPE ACONCHEGO 500ML,S,"775843",2.05,N,0,http://db.buzzer.com.br/middleware/imagens/7896098900406.png
"201",LIMPEZA,LIMPEZA DE ROUPA,AMACIANTES,"",UN,"1",7896098900413,AMAC ROUP TERNUR 500ML,"03/08/2020","03/08/2020",3.16,0.00,100.0000,24.0000,AMAC ROUPA YPE TERNURA 500ML,S,"775827",1.97,N,0,http://db.buzzer.com.br/middleware/imagens/7896098900413.png
"201",LIMPEZA,LIMPEZA DE ROUPA,AMACIANTES,"",UN,"1",7896098900420,AMAC ROUP CARINH 500ML,"03/08/2020","03/08/2020",3.16,0.00,100.0000,24.0000,AMAC ROUPA YPE CARINHO 500ML,S,"775835",2.05,N,0,http://db.buzzer.com.br/middleware/imagens/7896098900420.png
"201",LIMPEZA,LIMPEZA GERAL,DESINFETANTES PINHO,"",FR,"1",7896098900604,DESIN PINHO TRAD 500ML,"03/08/2020","03/08/2020",4.36,0.00,100.0000,10.0000,DESINF PINHO YPE TRADICAO 500ML,S,"1672746",0.00,N,0,http://db.buzzer.com.br/middleware/imagens/7896098900604.png
"201",LIMPEZA,LIMPEZA GERAL,DESINFETANTES PINHO,"",FR,"1",7896098900611,DESIN PINHO CITR 500ML,"03/08/2020","03/08/2020",4.36,0.00,100.0000,10.0000,DESINF PINHO YPE CITRUS 500ML,S,"1672754",0.00,N,0,http://db.buzzer.com.br/middleware/imagens/7896098900611.png
